label,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_jitter,energy_mean,energy_std,energy_slope_variance,energy_max,speech_rate_variance,pause_mean_duration,pause_std_duration,energy_gap_variance,mfcc_mean,mfcc_std,Spectral_flatness_mean,Spectral_flatness_std,spectral_flux_mean,spectral_flux_std,spectral_flux_max,spectral_flux_percentile,spectral_flux_spike_rate
0,173.3364185670095,59.81676045135861,50.51800841430025,390.3807358684777,339.86272745417745,11.9185469870134,0.02783192,0.025395555,4.263641e-05,0.124795154,0.0,9.22,0.0,0.0,-31.929401,156.07918,0.020480162,0.0418315,0.9147202,0.88094175,5.8728776,2.547102,0.0455531453362256
0,100.38532305312968,40.92495817270005,50.0,400.0,350.0,7.5010723133033155,0.037725296,0.03724781,6.737173e-05,0.16294849,0.0,15.4,0.0,0.0,-25.4134,142.05038,0.025634909,0.048749346,0.86907166,1.0565186,8.810534,2.805919,0.0441558441558441
0,169.0310054987127,74.87621792554496,50.0,327.1692576643871,277.1692576643871,9.723507210920406,0.032801878,0.027301777,4.6452307e-05,0.13881542,0.0,5.89,0.0,0.0,-29.394337,152.61226,0.020329854,0.04697691,0.8287577,0.8931642,6.119929,2.7200923,0.0526315789473684
0,199.2707228738729,64.2182618273116,50.0,400.0,350.0,13.33096864550919,0.040221397,0.035049055,9.846304e-05,0.13291147,0.0,9.33,0.0,0.0,-38.183987,141.87013,0.014862926,0.034286115,1.052337,1.1462455,6.9096513,3.5692942,0.0589496248660235
0,187.37596318628576,77.4310964049112,50.0,400.0,350.0,19.76603566757705,0.07190872,0.07019185,0.00038228667,0.36566716,0.0,12.57,0.0,0.0,-25.94579,118.087654,0.05217683,0.0798532,0.91035575,0.8766953,7.8074965,2.5333283,0.041368337311058
0,110.51718309061134,64.4886621303365,50.0,400.0,350.0,13.89999087804418,0.040300492,0.039809562,5.8974692e-05,0.19565028,0.0,11.38,0.0,0.0,-25.689323,152.72388,0.021104045,0.05424829,0.7789811,1.0348793,10.092988,2.542276,0.0386643233743409
0,178.28974482355335,56.62757316904268,51.17194378353789,400.0,348.82805621646213,14.305419996798689,0.028659604,0.027828382,4.5209264e-05,0.13518922,0.0,4.45,0.0,0.0,-31.328833,153.70023,0.02460947,0.05690372,0.9221001,1.1111597,9.330854,2.932638,0.0382022471910112
0,126.31038017888773,84.31376959458301,50.0,400.0,350.0,11.394031059240312,0.027519783,0.023012854,2.7467324e-05,0.10309897,0.0,13.16,0.0,0.0,-25.414341,152.56255,0.015210036,0.040160775,0.7909726,0.87040436,7.245014,2.4777064,0.0486322188449848
0,217.440092750599,72.94302162051721,50.32978026918594,400.0,349.67021973081404,16.910104674157335,0.019614737,0.018279789,3.7452308e-05,0.09766949,0.0,4.69,0.0,0.0,-37.649742,135.71085,0.0814426,0.09175903,0.9556644,0.9738709,9.436807,2.6462817,0.0383795309168443
0,190.3653619376697,75.80477787191731,50.0,400.0,350.0,18.34137521324291,0.033258144,0.041481044,0.00011593306,0.2611944,0.0,20.92,0.0,0.0,-38.013844,141.2493,0.053168148,0.07866658,0.9459632,1.2157341,13.94815,3.0044632,0.0387189292543021
0,190.3653619376697,75.80477787191731,50.0,400.0,350.0,18.34137521324291,0.033258144,0.041481044,0.00011593306,0.2611944,0.0,20.92,0.0,0.0,-38.013844,141.2493,0.053168148,0.07866658,0.9459632,1.2157341,13.94815,3.0044632,0.0387189292543021
0,171.97184166829797,58.96597522084833,50.65295615011035,400.0,349.34704384988964,10.03749843711302,0.032446016,0.032025076,8.798137e-05,0.15416907,0.0,6.38,0.0,0.0,-31.8922,161.55714,0.014007338,0.02487131,0.9060318,1.0520908,6.271748,3.1128793,0.054858934169279
0,106.95566015459715,43.80711166453103,50.0,400.0,350.0,9.417966324087296,0.036996186,0.03244552,7.21327e-05,0.16819113,0.0,11.41,0.0,0.0,-24.832691,135.24496,0.03488868,0.066131465,0.8352726,0.9517561,6.748645,2.738242,0.0499561787905346
